Term	Category
jolly	Positiv
indulgence	Positiv
attachment	Positiv
humor	Positiv
savor	Positiv
jubilee	Positiv
revel	Positiv
merriment	Positiv
resolve	Positiv
enthusiastic	Positiv
uplift	Positiv
confident	Positiv
amour	Positiv
secure	Positiv
balmy	Positiv
joy	Positiv
fondness	Positiv
restful	Positiv
happy	Positiv
value	Positiv
attraction	Positiv
merrily	Positiv
hilarious	Positiv
willing	Positiv
grateful	Positiv
poetic	Exprsv
happiness	Positiv
dote	Positiv
comfort	Positiv
enchantment	Positiv
fantasy	Positiv
lust	Positiv
sweetness	Positiv
devote	Positiv
satisfy	Positiv
assure	Positiv
mirth	Positiv
romance	Positiv
gratification	Positiv
rosy	Positiv
comfortable	Positiv
jubilant	Positiv
ecstatic	Positiv
pleased	Positiv
pleasant	Positiv
repose	Positiv
gaiety	Positiv
intimacy	Positiv
decoration	Positiv
amuse	Positiv
decorative	Positiv
contentment	Positiv
triumphant	Positiv
recreation	Positiv
excited	Positiv
delightful	Positiv
game	Exprsv
excitement	Positiv
appeal	Legal
carefree	Positiv
optimistic	Positiv
delight	Positiv
cheerful	Positiv
therapeutic	Positiv
willingness	Positiv
romantic	Positiv
purr	Positiv
cuddle	Positiv
determine	EMOT
whimsical	Relig
hot	Negativ
gratify	Positiv
sublime	Positiv
smitten	Positiv
gladden	Positiv
amusement	Positiv
pride	Positiv
appreciation	Positiv
relief	Positiv
harmonious	Positiv
blithe	Positiv
relaxation	Positiv
joyful	Positiv
overjoyed	Positiv
zeal	Pleasur
relish	Positiv
enjoy	Positiv
relieve	Positiv
cheery	Positiv
fascinate	Arousal
rest	Pleasur
pleasurable	Positiv
tranquility	Positiv
content	Positiv
sanguine	Positiv
confidence	Positiv
gaily	Positiv
satisfaction	Positiv
pleasure	Positiv
cozy	Positiv
tingle	Positiv
ease	Positiv
rejoice	Positiv
thrill	Positiv
elate	Positiv
endear	Positiv
gay	Positiv
decorate	Positiv
glee	Positiv
dreamland	Positiv
comic	Positiv
love	Positiv
proud	Positiv
enthusiasm	Positiv
admiration	Positiv
flirt	Positiv
apocalypse	Positiv
tenderness	Positiv
admire	Positiv
please	Positiv
recline	Positiv
jest	Positiv
appreciative	Positiv
comestible	Positiv
celebrate	Positiv
spirit	Relig
glad	Positiv
bliss	Positiv
exhilaration	Positiv
humorous	Positiv
blissful	Positiv
adore	Positiv
warmhearted	Positiv
cupid	Positiv
respite	Positiv
eager	Positiv
refuge	Positiv
adulation	Positiv
calm	Positiv
earnest	Positiv
merry	Positiv
ecstasy	Positiv
gladness	Positiv
excite	Positiv
upbeat	Positiv
comical	Positiv
calmness	Positiv
fun	Exprsv
sting	Negativ
depression	Econ@
frustration	Negativ
weep	Negativ
frighten	Negativ
numb	Negativ
indignation	Negativ
cramp	Negativ
resentful	Negativ
scrape	Negativ
sore	Negativ
dejected	Negativ
mourn	Negativ
thoughtless	Negativ
disagreeable	Negativ
disturb	Negativ
tired	Negativ
woeful	Negativ
dismay	EMOT
frantic	Negativ
bruise	Negativ
distress	Negativ
soreness	Negativ
miserable	Negativ
disappointment	Negativ
anxious	Negativ
mourner	Negativ
wary	Negativ
stink	Negativ
depress	Negativ
irritation	Negativ
moan	Negativ
despise	Negativ
torturous	Negativ
sprain	Negativ
edge	Negativ
sorrowful	Negativ
irk	Negativ
concern	Econ@
wretch	Negativ
wince	Negativ
ill	Negativ
dissatisfied	Negativ
melancholy	Negativ
grieve	Negativ
forlorn	Negativ
unnerve	Negativ
misery	Negativ
outrage	Negativ
scared	Negativ
scald	Negativ
unassured	Pain
fury	Negativ
dishonor	Negativ
malice	Negativ
downhearted	Negativ
lone	Negativ
nervousness	Negativ
wretchedness	Negativ
agonize	Negativ
tense	Negativ
grizzly	Negativ
dissolution	Negativ
woe	Negativ
malicious	Negativ
anxiety	Negativ
ashamed	Negativ
disillusion	EMOT
grief	Negativ
hurt	Negativ
rue	Negativ
hopeless	Negativ
shrill	Negativ
hard	Negativ
chafe	Negativ
ache	Negativ
plight	Negativ
press	Econ@
lonesome	Negativ
commiseration	Negativ
dizzy	Negativ
fearful	Negativ
irritable	Negativ
lament	Negativ
discontent	Negativ
unwilling	Negativ
regrettable	Negativ
scary	Negativ
whimper	Negativ
hostility	Negativ
apologetic	Pain
shriek	Negativ
uneasiness	Negativ
fed	Negativ
pain	Negativ
wallow	Negativ
panic	Negativ
yelp	Negativ
wail	Negativ
dread	Negativ
dissatisfaction	Negativ
dishearten	Negativ
disappoint	Negativ
clatter	Negativ
lonely	Negativ
smart	Positiv
scare	Negativ
exasperation	Negativ
clamor	Negativ
famine	Negativ
weary	EMOT
grievance	Negativ
doldrums	Negativ
anxiousness	Negativ
hysterical	Negativ
loneliness	Negativ
nervous	Negativ
shame	Negativ
gash	Negativ
strain	Negativ
exhaustion	Negativ
discomfort	Negativ
beset	Negativ
intolerable	Negativ
unhappy	Negativ
cripple	Negativ
sullen	Negativ
tolerable	Negativ
unbearable	Negativ
somber	Negativ
agony	Negativ
bitterness	Negativ
downfall	Negativ
remorse	Negativ
terror	Negativ
terrify	Negativ
unwillingness	Negativ
anguish	Negativ
sad	Negativ
glum	Negativ
shock	Negativ
pout	Negativ
worry	Negativ
grudge	Negativ
frustrate	Negativ
horror	Negativ
shameful	Negativ
commit	Negativ
frightful	Negativ
hostile	Negativ
uncomfortable	Negativ
unhappiness	Negativ
bitter	Negativ
upset	Negativ
hung	Negativ
downcast	Negativ
despair	Negativ
regret	Negativ
tension	Negativ
fearsome	Negativ
afraid	Negativ
burdensome	Negativ
hysteria	Negativ
oppressive	Negativ
cringe	Negativ
sorry	Negativ
tire	Negativ
trouble	Negativ
stricken	Negativ
hurtful	Negativ
writhe	Negativ
sob	Negativ
uneasy	Negativ
wind	Pain
unsettling	Negativ
bloodshed	Negativ
suffer	Negativ
perturb	Negativ
mortify	Negativ
desperation	Negativ
destitute	Econ@
lamentable	Negativ
tragedy	Negativ
injure	Negativ
blue	Econ@
apprehension	Negativ
humiliation	Negativ
fatigue	Negativ
stress	Negativ
discourage	Negativ
gloom	Negativ
restlessness	Negativ
resentment	Negativ
clamorous	Negativ
gloomy	Negativ
shiver	Negativ
unspeakable	Negativ
displeasure	Negativ
fear	Negativ
desperate	Negativ
sorrow	Negativ
ail	Negativ
touchy	Negativ
distrustful	Negativ
disgust	Negativ
estranged	Negativ
disconcerted	Negativ
conflict	Negativ
neurotic	Negativ
apprehensive	Negativ
guilt	Negativ
ailment	Negativ
brood	Negativ
sadness	Negativ
yearn	Negativ
prejudicial	Negativ
opinionated	Negativ
optional	Positiv
positiveness	Positiv
voluntary	Positiv
fervor	Positiv
covet	Negativ
preference	Positiv
crave	Negativ
qualm	Negativ
resolute	Positiv
apathy	Negativ
fiery	Positiv
vigilant	Positiv
optimism	Positiv
rigid	Negativ
vehement	Negativ
apathetic	Negativ
involuntary	Negativ
superstition	Negativ
esteem	Positiv
eagerness	Positiv
antipathy	Negativ
unmoved	Negativ
entrust	Positiv
superstitious	Negativ
obstinate	Negativ
exuberance	Positiv
fervent	Positiv
resolved	Positiv
selfishness	Negativ
earnestness	Positiv
gratitude	Positiv
exuberant	Positiv
aloof	Negativ
objection	Negativ
outcry	Negativ
willful	Positiv
unfeeling	Negativ
vigilance	Positiv
cranky	Negativ
giddy	Positiv
repress	Negativ
reluctant	Negativ
astonish	Arousal
sensitivity	Positiv
furious	Negativ
sensitive	Positiv
responsive	Positiv
bristle	Negativ
seriousness	Positiv
attitude	EMOT
suspicion	Negativ
true	Positiv
awe	EMOT
abhor	Negativ
belligerent	Negativ
spite	Negativ
involvement	Arousal
sympathy	Positiv
pamper	Positiv
mellow	Positiv
serene	Positiv
appreciate	Positiv
anticipate	Arousal
distrust	Arousal
impatience	Negativ
berserk	Negativ
placid	Arousal
hatred	Negativ
touch	Exprsv
feel	EMOT
antagonism	Negativ
passive	Arousal
question	Arousal
modesty	Positiv
notoriety	Positiv
inspirational	Positiv
impartiality	Positiv
try	Legal
wonder	Positiv
affectionate	Positiv
meditation	Positiv
preoccupy	Arousal
sentiment	EMOT
appetite	Arousal
acrimonious	Negativ
spend	Econ@
impartial	Positiv
bite	Negativ
sympathize	Positiv
determination	Arousal
passion	EMOT
homage	Positiv
cross	Relig
wide	Arousal
move	Arousal
sentimental	EMOT
disposition	Arousal
sympathetic	Positiv
like	Positiv
adamant	Positiv
emotion	EMOT
indifference	Negativ
trust	Econ@
care	Positiv
passionate	Positiv
temper	Negativ
emotional	EMOT
genial	Positiv
sense	Positiv
morale	Positiv
bashful	Negativ
angry	Negativ
watch	Arousal
zest	Positiv
motivate	Positiv
assertion	Positiv
dislike	Negativ
fond	Positiv
overwhelm	Arousal
alert	Arousal
antagonize	Negativ
understand	Positiv
expectation	Arousal
pity	EMOT
respect	Positiv
hate	Negativ
beloved	Positiv
inspiration	Positiv
mood	EMOT
anger	Negativ
peaceable	Positiv
readiness	Arousal
anticipation	Arousal
intimate	Positiv
dispose	Negativ
favor	Positiv
antagonistic	Negativ
restless	Negativ
impulse	Arousal
mad	Negativ
serious	Positiv
regard	Positiv
quandary	Negativ
unexpected	Arousal
ready	Arousal
devotion	Relig
