Term	Category
vote	FormLw
persistent	Virtue
accident	TrnLoss
outgoing	IPadj
commander	PowTot
turtle	ANI
squirrel	ANI
austria	Nation
pelvis	BodyPt
swiftness	IndAdj
secondary	TimeSpc
fumble	IAV
stark	Quality
appraise	EnlOth
plane	TimeSpc
sign	FormLw
enterprise	WltTot
suitable	EVAL
jug	Tool
cannot	NotLw
enact	PowTot
augment	TrnGain
salutation	ComForm
acceleration	TimeSpc
adjournment	PowTot
collectivism	PowTot
ninetieth	Source
familiarity	EnlTot
libya	Nation
fundamental	SureLw
adorable	IndAdj
not	NotLw
unesco	Source
basket	Tool
lover	AffTot
chamber	PowTot
preacher	RcTot
renunciation	ComForm
silent	Quality
valiant	IndAdj
amend	PowTot
bard	SklTot
tongue	WlbTot
historic	EnlTot
vomit	NatrPro
depict	EnlTot
unhappiness	WlbTot
gabon	Nation
arise	IAV
discredit	IAV
dynasty	PowTot
torn	Source
bombard	IAV
tentative	If
magazine	EnlTot
seem	If
adamant	IndAdj
bow	PowTot
disastrous	EVAL
grade	TranLw
pillow	WlbTot
pacification	PowTot
powerless	IndAdj
slavery	POLIT
install	TrnGain
compassionate	PosAff
equalization	Source
blindness	IndAdj
assessor	WltTot
arbitrate	PowTot
since	TimeSpc
flyer	PowTot
manure	NatObj
safety	WlbTot
underdeveloped	WltTot
exploit	PowTot
symphony	FormLw
jersey	Source
rapture	Think
muscle	PowTot
reminder	FormLw
aristocratic	IndAdj
disability	WlbTot
big	DIM
preservation	Means
uncontested	Negate
dazzle	IAV
deal	FormLw
intolerable	NegAff
preeminent	IndAdj
conscience	RcTot
economic	WltTot
blower	Tool
prospective	Time@
poetry	FormLw
assume	EndsLw
pleased	PosAff
undetermined	EnlTot
atom	NatObj
ferocity	Hostile
editorial	EnlTot
hackney	IndAdj
vulture	ANI
boy	WlbTot
outstanding	SklTot
inexpensive	IndAdj
like	PosAff
multitude	Quan
aunt	AffTot
never	NotLw
instinctive	IndAdj
disorder	PowTot
crazy	EVAL
differentiate	EnlTot
advantage	MeansLw
eliminate	PowTot
sink	TranLw
defecate	Source
protector	HU
make	IAV
media	FormLw
deference	Ought
stairway	BldgPt
official	PowTot
potential	EndsLw
mirror	Tool
proctor	RcTot
fold	IAV
distinctive	EnlTot
descry	IAV
indeed	SureLw
merciful	IPadj
knowledge	EnlTot
crowd	PtLw
rare	TimeSpc
colony	PowTot
mar	NegAff
upside	PLACE
personal	RspTot
distress	WlbTot
red	COLOR
technical	ECON
atlantic	PowTot
lecture	FormLw
subjugate	IAV
beware	IAV
conjure	IAV
sprightly	IndAdj
painful	WlbTot
aesthetic	SklTot
define	EnlTot
mile	TimeSpc
guess	EnlTot
sensitive	SklTot
fed	NegAff
explicit	FormLw
defiance	PowTot
supper	Food
attribute	IAV
pack	TranLw
gasoline	Tool
income	FormLw
inseparable	IPadj
industrialism	WltTot
conformist	PowTot
deceive	EnlTot
crucial	SureLw
humanitarian	IndAdj
pitiless	IPadj
negligent	IndAdj
thumb	BodyPt
reward	PosAff
economy	WltTot
gallery	Social
alibi	ComForm
specifically	SureLw
slap	DAV
shade	DAV
homely	SklTot
acrimonious	IPadj
dad	AffTot
nuisance	Vice
willful	IndAdj
acrimony	Vice
deck	BldgPt
learn	EnlTot
horticulture	WltTot
reactionary	NegAff
alike	Know
contrary	Negate
mediator	PowTot
rotten	IndAdj
barbarous	IndAdj
civilize	EnlTot
accurateness	Ovrst
avid	IndAdj
owe	IAV
lively	WlbTot
endless	DIM
astray	Fail
untimely	IndAdj
repay	WltTot
blown	Source
horse	ANI
stipulate	TranLw
echo	DAV
gang	PowTot
decoration	Object
deprivation	TrnLoss
nuts	Intrj
numerous	Quan
indebted	SocRel
despotism	PowTot
gear	Tool
last	TimeSpc
guilty	RcTot
luncheon	Food
cocoa	Food
crown	RspTot
refine	IAV
exit	IAV
bonny	IndAdj
muffle	TrnLoss
load	MeansLw
lustrous	IndAdj
win	WltTot
assimilate	IAV
estranged	IPadj
luminous	IndAdj
further	TimeSpc
